states,categories,year_2011,year_2012,year_2013,sub_category
KARNATAKA, TOTAL  ,329,607,1087,CHILDREN
KERALA, TOTAL  ,1533,1582,2008,CHILDREN
MADHYA PRADESH, TOTAL  ,5586,7136,8661,CHILDREN
MAHARASHTRA, TOTAL  ,4050,4185,6805,CHILDREN
MANIPUR, TOTAL  ,49,33,10,CHILDREN
MEGHALAYA, TOTAL  ,64,90,133,CHILDREN
MIZORAM, TOTAL  ,57,93,74,CHILDREN
NAGALAND, TOTAL  ,20,12,12,CHILDREN
ODISHA, TOTAL  ,287,489,1005,CHILDREN
PUNJAB, TOTAL  ,668,717,1149,CHILDREN
RAJASTHAN, TOTAL  ,995,1248,1961,CHILDREN
SIKKIM, TOTAL  ,33,30,68,CHILDREN
TAMIL NADU, TOTAL  ,901,1105,1475,CHILDREN
TRIPURA, TOTAL  ,253,22,150,CHILDREN
UTTAR PRADESH, TOTAL  ,8560,11470,19286,CHILDREN
UTTARAKHAND, TOTAL  ,77,118,173,CHILDREN
WEST BENGAL, TOTAL  ,1064,1259,1800,CHILDREN
TOTAL-STATES, TOTAL  ,34093,40622,58281,CHILDREN
A & N ISLANDS, TOTAL  ,36,33,51,CHILDREN
CHANDIGARH, TOTAL  ,65,56,109,CHILDREN
D & N HAVELI, TOTAL  ,5,14,6,CHILDREN
DAMAN & DIU, TOTAL  ,0,9,5,CHILDREN
DELHI, TOTAL  ,1199,1351,2037,CHILDREN
LAKSHADWEEP, TOTAL  ,0,0,0,CHILDREN
PUDUCHERRY, TOTAL  ,29,32,22,CHILDREN
TOTAL-UTs, TOTAL  ,1334,1495,2230,CHILDREN
TOTAL-INDIA, TOTAL  ,35427,42117,60511,CHILDREN
